"Time","A4260516",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       9.787,     90
09:00:00 02/06/2015,       9.903,     90
09:00:00 03/06/2015,       9.889,     90
09:00:00 04/06/2015,       9.810,     90
09:00:00 05/06/2015,       9.757,     90
09:00:00 06/06/2015,       9.865,     90
09:00:00 07/06/2015,       9.850,     90
09:00:00 08/06/2015,       9.772,     90
09:00:00 09/06/2015,       9.730,     90
09:00:00 10/06/2015,       9.880,     90
09:00:00 11/06/2015,       9.951,     90
09:00:00 12/06/2015,       9.901,     90
09:00:00 13/06/2015,       9.842,     90
09:00:00 14/06/2015,       9.781,     90
09:00:00 15/06/2015,       9.730,     90
09:00:00 16/06/2015,       9.666,     90
09:00:00 17/06/2015,       9.616,     90
09:00:00 18/06/2015,       9.611,     90
09:00:00 19/06/2015,       9.681,     90
09:00:00 20/06/2015,       9.732,     90
09:00:00 21/06/2015,       9.757,     90
09:00:00 22/06/2015,       9.705,     90
09:00:00 23/06/2015,       9.617,     90
09:00:00 24/06/2015,       9.623,     90
09:00:00 25/06/2015,       9.743,     90
09:00:00 26/06/2015,       9.816,     90
09:00:00 27/06/2015,       9.806,     90
09:00:00 28/06/2015,       9.817,     90
09:00:00 29/06/2015,       9.818,     90
09:00:00 30/06/2015,       9.832,     90
09:00:00 01/07/2015,       9.839,      1
09:00:00 02/07/2015,       9.839,      1
09:00:00 03/07/2015,       9.862,      1
09:00:00 04/07/2015,       9.877,      1
09:00:00 05/07/2015,       9.860,      1
09:00:00 06/07/2015,       9.847,      1
09:00:00 07/07/2015,       9.836,      1
09:00:00 08/07/2015,       9.844,      1
09:00:00 09/07/2015,       9.844,      1
09:00:00 10/07/2015,       9.839,      1
09:00:00 11/07/2015,       9.834,      1
09:00:00 12/07/2015,       9.828,      1
09:00:00 13/07/2015,       9.831,      1
09:00:00 14/07/2015,       9.835,      1
09:00:00 15/07/2015,       9.842,      1
09:00:00 16/07/2015,       9.857,      1
09:00:00 17/07/2015,       9.852,      1
09:00:00 18/07/2015,       9.842,      1
09:00:00 19/07/2015,       9.823,      1
09:00:00 20/07/2015,       9.808,      1
09:00:00 21/07/2015,       9.799,      1
09:00:00 22/07/2015,       9.801,      1
09:00:00 23/07/2015,       9.807,      1
09:00:00 24/07/2015,       9.799,      1
09:00:00 25/07/2015,       9.794,      1
09:00:00 26/07/2015,       9.795,      1
09:00:00 27/07/2015,       9.809,      1
09:00:00 28/07/2015,       9.823,      1
09:00:00 29/07/2015,       9.840,      1
09:00:00 30/07/2015,       9.845,      1
09:00:00 31/07/2015,       9.859,      1
09:00:00 01/08/2015,       9.870,      1
09:00:00 02/08/2015,       9.886,      1
09:00:00 03/08/2015,       9.877,      1
09:00:00 04/08/2015,       9.889,      1
09:00:00 05/08/2015,       9.875,      1
09:00:00 06/08/2015,       9.867,      1
09:00:00 07/08/2015,       9.862,      1
09:00:00 08/08/2015,       9.860,      1
09:00:00 09/08/2015,       9.859,      1
09:00:00 10/08/2015,       9.852,      1
09:00:00 11/08/2015,       9.844,      1
09:00:00 12/08/2015,       9.831,      1
09:00:00 13/08/2015,       9.845,      1
09:00:00 14/08/2015,       9.842,      1
09:00:00 15/08/2015,       9.846,      1
09:00:00 16/08/2015,       9.848,      1
09:00:00 17/08/2015,       9.846,      1
09:00:00 18/08/2015,       9.850,      1
09:00:00 19/08/2015,       9.851,      1
09:00:00 20/08/2015,       9.850,      1
09:00:00 21/08/2015,       9.843,      1
09:00:00 22/08/2015,       9.836,      1
09:00:00 23/08/2015,       9.829,      1
09:00:00 24/08/2015,       9.831,      1
09:00:00 25/08/2015,       9.803,      1
09:00:00 26/08/2015,       9.796,      1
09:00:00 27/08/2015,       9.803,      1
09:00:00 28/08/2015,       9.809,      1
09:00:00 29/08/2015,       9.814,      1
09:00:00 30/08/2015,       9.818,      1
09:00:00 31/08/2015,       9.823,      1
09:00:00 01/09/2015,       9.830,      1
09:00:00 02/09/2015,       9.844,      1
09:00:00 03/09/2015,       9.884,      1
09:00:00 04/09/2015,       9.874,      1
09:00:00 05/09/2015,       9.860,      1
09:00:00 06/09/2015,       9.838,      1
09:00:00 07/09/2015,       9.807,      1
09:00:00 08/09/2015,       9.810,      1
09:00:00 09/09/2015,       9.822,      1
09:00:00 10/09/2015,       9.829,      1
09:00:00 11/09/2015,       9.842,      1
09:00:00 12/09/2015,       9.842,      1
09:00:00 13/09/2015,       9.840,      1
09:00:00 14/09/2015,       9.830,      1
09:00:00 15/09/2015,       9.815,      1
09:00:00 16/09/2015,       9.831,      1
09:00:00 17/09/2015,       9.848,      1
09:00:00 18/09/2015,       9.846,      1
09:00:00 19/09/2015,       9.842,      1
09:00:00 20/09/2015,       9.850,      1
09:00:00 21/09/2015,       9.850,      1
09:00:00 22/09/2015,       9.831,      1
09:00:00 23/09/2015,       9.821,      1
09:00:00 24/09/2015,       9.809,      1
09:00:00 25/09/2015,       9.797,      1
09:00:00 26/09/2015,       9.790,      1
09:00:00 27/09/2015,       9.794,      1
09:00:00 28/09/2015,       9.796,      1
09:00:00 29/09/2015,       9.801,      1
09:00:00 30/09/2015,       9.798,      1
09:00:00 01/10/2015,       9.793,      1
09:00:00 02/10/2015,       9.788,      1
09:00:00 03/10/2015,       9.793,      1
09:00:00 04/10/2015,       9.793,      1
09:00:00 05/10/2015,       9.801,      1
09:00:00 06/10/2015,       9.803,      1
09:00:00 07/10/2015,       9.817,      1
09:00:00 08/10/2015,       9.814,      1
09:00:00 09/10/2015,       9.824,      1
09:00:00 10/10/2015,       9.828,      1
09:00:00 11/10/2015,       9.827,      1
09:00:00 12/10/2015,       9.829,      1
09:00:00 13/10/2015,       9.821,      1
09:00:00 14/10/2015,       9.816,      1
09:00:00 15/10/2015,       9.818,      1
09:00:00 16/10/2015,       9.810,      1
09:00:00 17/10/2015,       9.813,      1
09:00:00 18/10/2015,       9.806,      1
09:00:00 19/10/2015,       9.806,      1
09:00:00 20/10/2015,       9.807,      1
09:00:00 21/10/2015,       9.800,      1
09:00:00 22/10/2015,       9.805,      1
09:00:00 23/10/2015,       9.801,      1
09:00:00 24/10/2015,       9.808,      1
09:00:00 25/10/2015,       9.812,      1
09:00:00 26/10/2015,       9.810,      1
09:00:00 27/10/2015,       9.803,      1
09:00:00 28/10/2015,       9.801,      1
09:00:00 29/10/2015,       9.815,      1
09:00:00 30/10/2015,       9.815,      1
09:00:00 31/10/2015,       9.831,      1
09:00:00 01/11/2015,       9.853,      1
09:00:00 02/11/2015,       9.860,      1
09:00:00 03/11/2015,       9.867,      1
09:00:00 04/11/2015,       9.864,      1
09:00:00 05/11/2015,       9.864,      1
09:00:00 06/11/2015,       9.872,      1
09:00:00 07/11/2015,       9.868,      1
09:00:00 08/11/2015,       9.849,      1
09:00:00 09/11/2015,       9.827,      1
09:00:00 10/11/2015,       9.808,      1
09:00:00 11/11/2015,       9.810,      1
09:00:00 12/11/2015,       9.803,      1
09:00:00 13/11/2015,       9.822,      1
09:00:00 14/11/2015,       9.836,      1
09:00:00 15/11/2015,       9.841,      1
09:00:00 16/11/2015,       9.845,      1
09:00:00 17/11/2015,       9.852,      1
09:00:00 18/11/2015,       9.857,      1
09:00:00 19/11/2015,       9.852,      1
09:00:00 20/11/2015,       9.855,      1
09:00:00 21/11/2015,       9.847,      1
09:00:00 22/11/2015,       9.832,      1
09:00:00 23/11/2015,       9.815,      1
09:00:00 24/11/2015,       9.812,      1
09:00:00 25/11/2015,       9.807,      1
09:00:00 26/11/2015,       9.787,      1
09:00:00 27/11/2015,"",    201
09:00:00 28/11/2015,"",    201
09:00:00 29/11/2015,"",    201
09:00:00 30/11/2015,       9.815,      1
09:00:00 01/12/2015,"",    201
09:00:00 02/12/2015,"",    201
09:00:00 03/12/2015,"",    201
09:00:00 04/12/2015,"",    201
09:00:00 05/12/2015,       9.839,      1
09:00:00 06/12/2015,       9.843,      1
09:00:00 07/12/2015,       9.845,      1
09:00:00 08/12/2015,       9.834,      1
09:00:00 09/12/2015,"",    201
09:00:00 10/12/2015,"",    201
09:00:00 11/12/2015,"",    201
09:00:00 12/12/2015,"",    201
09:00:00 13/12/2015,       9.835,      1
09:00:00 14/12/2015,       9.839,      1
09:00:00 15/12/2015,       9.848,      1
09:00:00 16/12/2015,       9.841,      1
09:00:00 17/12/2015,       9.842,      1
09:00:00 18/12/2015,       9.847,      1
09:00:00 19/12/2015,       9.842,      1
09:00:00 20/12/2015,       9.842,      1
09:00:00 21/12/2015,       9.830,      1
09:00:00 22/12/2015,       9.820,      1
09:00:00 23/12/2015,       9.831,      1
09:00:00 24/12/2015,       9.831,      1
09:00:00 25/12/2015,       9.833,      1
09:00:00 26/12/2015,       9.848,      1
09:00:00 27/12/2015,       9.834,      1
09:00:00 28/12/2015,       9.826,      1
09:00:00 29/12/2015,       9.829,      1
09:00:00 30/12/2015,       9.831,      1
09:00:00 31/12/2015,       9.835,      1
09:00:00 01/01/2016,       9.843,      1
09:00:00 02/01/2016,       9.845,      1
09:00:00 03/01/2016,       9.837,      1
09:00:00 04/01/2016,       9.840,      1
09:00:00 05/01/2016,       9.853,      1
09:00:00 06/01/2016,       9.858,      1
09:00:00 07/01/2016,       9.839,      1
09:00:00 08/01/2016,       9.823,      1
09:00:00 09/01/2016,       9.817,      1
09:00:00 10/01/2016,       9.818,      1
09:00:00 11/01/2016,       9.810,      1
09:00:00 12/01/2016,       9.817,      1
09:00:00 13/01/2016,       9.814,      1
09:00:00 14/01/2016,       9.815,      1
09:00:00 15/01/2016,       9.816,      1
09:00:00 16/01/2016,       9.821,      1
09:00:00 17/01/2016,       9.837,      1
09:00:00 18/01/2016,       9.846,      1
09:00:00 19/01/2016,       9.844,      1
09:00:00 20/01/2016,       9.837,      1
09:00:00 21/01/2016,       9.833,      1
09:00:00 22/01/2016,       9.840,    150
09:00:00 23/01/2016,       9.874,    150
09:00:00 24/01/2016,       9.890,    150
09:00:00 25/01/2016,       9.890,    150
09:00:00 26/01/2016,       9.890,    150
09:00:00 27/01/2016,       9.884,    150
09:00:00 28/01/2016,       9.874,    150
09:00:00 29/01/2016,       9.855,    150
09:00:00 30/01/2016,       9.869,    150
09:00:00 31/01/2016,       9.894,    150
09:00:00 01/02/2016,       9.895,    150
09:00:00 02/02/2016,       9.900,    150
09:00:00 03/02/2016,       9.883,    150
09:00:00 04/02/2016,       9.862,    150
09:00:00 05/02/2016,       9.845,    150
09:00:00 06/02/2016,       9.830,    150
09:00:00 07/02/2016,       9.822,    150
09:00:00 08/02/2016,       9.812,    150
09:00:00 09/02/2016,       9.805,    150
09:00:00 10/02/2016,       9.816,    150
09:00:00 11/02/2016,       9.825,    150
09:00:00 12/02/2016,       9.822,    150
09:00:00 13/02/2016,       9.822,    150
09:00:00 14/02/2016,       9.815,    150
09:00:00 15/02/2016,       9.799,    150
09:00:00 16/02/2016,       9.807,    150
09:00:00 17/02/2016,       9.819,    150
09:00:00 18/02/2016,       9.819,    150
09:00:00 19/02/2016,       9.830,    150
09:00:00 20/02/2016,       9.840,    150
09:00:00 21/02/2016,       9.833,    150
09:00:00 22/02/2016,       9.836,    150
09:00:00 23/02/2016,       9.842,    150
09:00:00 24/02/2016,       9.836,    150
09:00:00 25/02/2016,       9.840,    150
09:00:00 26/02/2016,       9.837,    150
09:00:00 27/02/2016,"",    201
09:00:00 28/02/2016,       9.841,    150
09:00:00 29/02/2016,       9.836,    150
09:00:00 01/03/2016,       9.834,    150
09:00:00 02/03/2016,       9.831,    150
09:00:00 03/03/2016,       9.830,    150
09:00:00 04/03/2016,       9.821,    150
09:00:00 05/03/2016,       9.833,    150
09:00:00 06/03/2016,       9.822,    150
09:00:00 07/03/2016,       9.816,    150
09:00:00 08/03/2016,       9.826,    150
09:00:00 09/03/2016,       9.827,    150
09:00:00 10/03/2016,       9.835,    150
09:00:00 11/03/2016,       9.836,    150
09:00:00 12/03/2016,       9.837,    150
09:00:00 13/03/2016,       9.828,    150
09:00:00 14/03/2016,       9.822,    150
09:00:00 15/03/2016,       9.821,    150
09:00:00 16/03/2016,       9.810,    150
09:00:00 17/03/2016,       9.814,    150
09:00:00 18/03/2016,       9.819,    150
09:00:00 19/03/2016,       9.813,    150
09:00:00 20/03/2016,       9.812,    150
09:00:00 21/03/2016,       9.812,    150
09:00:00 22/03/2016,       9.811,    150
09:00:00 23/03/2016,       9.818,    150
09:00:00 24/03/2016,       9.820,    150
09:00:00 25/03/2016,       9.825,    150
09:00:00 26/03/2016,       9.833,    150
09:00:00 27/03/2016,       9.838,    150
09:00:00 28/03/2016,       9.845,    150
09:00:00 29/03/2016,       9.854,    150
09:00:00 30/03/2016,       9.855,    150
09:00:00 31/03/2016,       9.860,    150
09:00:00 01/04/2016,       9.868,    150
09:00:00 02/04/2016,       9.878,    150
09:00:00 03/04/2016,       9.893,    150
09:00:00 04/04/2016,       9.891,    150
09:00:00 05/04/2016,       9.897,    150
09:00:00 06/04/2016,       9.932,    150
09:00:00 07/04/2016,       9.916,    150
09:00:00 08/04/2016,       9.906,    150
09:00:00 09/04/2016,       9.886,    150
09:00:00 10/04/2016,       9.870,    150
09:00:00 11/04/2016,       9.851,    150
09:00:00 12/04/2016,       9.833,    150
09:00:00 13/04/2016,       9.822,    150
09:00:00 14/04/2016,       9.828,    150
09:00:00 15/04/2016,       9.836,    150
09:00:00 16/04/2016,       9.842,    150
09:00:00 17/04/2016,       9.842,    150
09:00:00 18/04/2016,       9.835,    150
09:00:00 19/04/2016,       9.841,    150
09:00:00 20/04/2016,       9.849,    150
09:00:00 21/04/2016,       9.846,    150
09:00:00 22/04/2016,       9.853,    150
09:00:00 23/04/2016,       9.842,    150
09:00:00 24/04/2016,       9.820,    150
09:00:00 25/04/2016,       9.813,    150
09:00:00 26/04/2016,       9.813,    150
09:00:00 27/04/2016,       9.808,    150
09:00:00 28/04/2016,       9.804,    150
09:00:00 29/04/2016,       9.798,    150
09:00:00 30/04/2016,       9.782,    150
09:00:00 01/05/2016,       9.767,    150
09:00:00 02/05/2016,       9.795,    150
09:00:00 03/05/2016,       9.798,    150
09:00:00 04/05/2016,       9.806,    150
09:00:00 05/05/2016,       9.813,    150
09:00:00 06/05/2016,       9.814,    150
09:00:00 07/05/2016,       9.821,    150
09:00:00 08/05/2016,       9.825,    150
09:00:00 09/05/2016,       9.825,    150
09:00:00 10/05/2016,       9.795,    150
09:00:00 11/05/2016,       9.824,    150
09:00:00 12/05/2016,       9.809,    150
09:00:00 13/05/2016,       9.819,    150
09:00:00 14/05/2016,       9.821,    150
09:00:00 15/05/2016,       9.819,    150
09:00:00 16/05/2016,       9.823,    150
09:00:00 17/05/2016,       9.820,    150
09:00:00 18/05/2016,       9.810,    150
09:00:00 19/05/2016,       9.805,    150
09:00:00 20/05/2016,       9.808,    150
09:00:00 21/05/2016,       9.814,    150
09:00:00 22/05/2016,       9.812,    150
09:00:00 23/05/2016,       9.804,    150
09:00:00 24/05/2016,       9.808,    150
09:00:00 25/05/2016,       9.807,    150
09:00:00 26/05/2016,       9.829,    150
09:00:00 27/05/2016,       9.851,    150
09:00:00 28/05/2016,       9.844,    150
09:00:00 29/05/2016,       9.859,    150
09:00:00 30/05/2016,       9.859,    150
09:00:00 31/05/2016,       9.866,    150
09:00:00 01/06/2016,       9.860,    150
09:00:00 02/06/2016,       9.857,    150
09:00:00 03/06/2016,       9.854,    150
09:00:00 04/06/2016,       9.839,    150
09:00:00 05/06/2016,       9.832,    150
09:00:00 06/06/2016,       9.822,    150
09:00:00 07/06/2016,       9.824,    150
09:00:00 08/06/2016,       9.830,    150
09:00:00 09/06/2016,       9.827,    150
09:00:00 10/06/2016,       9.834,    150
09:00:00 11/06/2016,       9.828,    150
09:00:00 12/06/2016,       9.830,    150
09:00:00 13/06/2016,       9.825,    150
09:00:00 14/06/2016,       9.821,    150
09:00:00 15/06/2016,       9.822,    150
09:00:00 16/06/2016,       9.820,    150
09:00:00 17/06/2016,       9.819,    150
09:00:00 18/06/2016,       9.826,    150
09:00:00 19/06/2016,       9.824,    150
09:00:00 20/06/2016,       9.817,    150
09:00:00 21/06/2016,       9.810,    150
09:00:00 22/06/2016,       9.813,    150
09:00:00 23/06/2016,       9.813,    150
09:00:00 24/06/2016,       9.799,    150
09:00:00 25/06/2016,       9.818,    150
09:00:00 26/06/2016,       9.820,    150
09:00:00 27/06/2016,       9.817,    150
09:00:00 28/06/2016,       9.815,    150
09:00:00 29/06/2016,       9.812,    150
09:00:00 30/06/2016,       9.805,    150
09:00:00 01/07/2016,       9.807,    150
09:00:00 02/07/2016,       9.814,    150
09:00:00 03/07/2016,       9.827,    150
09:00:00 04/07/2016,       9.837,    150
09:00:00 05/07/2016,       9.844,    150
09:00:00 06/07/2016,       9.840,    150
09:00:00 07/07/2016,       9.834,    150
09:00:00 08/07/2016,"",    255
09:00:00 09/07/2016,"",    255
